Autore;Titolo;;Data
DINUCCI Manlio-PELLEGRINI Carla;Laboratorio di geografia;;1839
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1840
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1841
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1842
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1843
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1844
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1845
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1846
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1847
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1848
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1849
MARSEGLIA Paride-MONALDI Romina;Il potere delle storie;;1850
PRINCIPI Nicola-RUBINO Armido;Pediatria generale e specialistica;;1851
LUPIA PALMIERI Elvidio-PAROTTO Maurizio;Il Globo terrestre e la sua evoluzione - edizione blu;;1852
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.blu;;1853
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.blu;;1854
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.blu;;1855
BAROZZI Graziella-BERGAMINI Massimo-TRIFONE Anna;Matematica.blu;;1856
CORRADINI Simonetta-SISSA Stefano;Capire la realtà sociale;;1857
BONSO Ornella-DITADI Alessandro;Manuale di pratica della relazione nell'assistenza infermieristica;;1858
CICALA Lanfranco-HALLIDAY David-KRANE Kenneth-RESNICK Robert;Fisica;;1859
CICALA Lanfranco-HALLIDAY David-KRANE Kenneth-RESNICK Robert;Fisica;;1860
VERDE Giovanni;Diritto processuale civile;;1861
VERDE Giovanni;Procedimento di esecuzione;;1862
RUGGIERI Francesca;Diritto processuale e pratiche criminali;;1863
REVELLINO Patrizia-SCHINARDI Giovanna-TELLIER Emilie;Let's Do Business in English!;;1864
GIORDANO Rosaria-PANZAROLA Andrea;ART. 700-702;;1865
FERRANDO Gilda;Art. 79-158;;1866
GRASSO Donato A.;Il formicaio intelligente;;1867
COLELLA Antonella-DE BERNARDIS Gaetano-SORCI Andrea-VIZZARI Giovanna;GrecoLatino;;1868
BERGAMASCHI Roberta-BERGER Dominique-SPICACCI Nerina;Savoir-dire, Savoir-faire;;1869
ORLANDINI Giovanni-PLATZER Werner;Atlante Tascabile di Anatomia Umana;;1870
LOVITCH Lionel-ROSATI Sergio;Fisica generale;;1871
BERG Darwin-BLOOM Floyd E.-DU LAC Sascha-FADIGA Luciano-GHOSH Anirvan-SPIDALIERI Giuseppe-SPITZER Nicholas C.-SQUIRE Larry;Fondamenti di Neuroscienze;;1872
BERENBAUM May R.-HELLER H. Craig-HILLIS David M.-SADAVA David;From Biochemistry to Biotechnology;;1873
ROMENI Claudio;Fisica: i concetti, le leggi e la storia;;1874
CALVI Maria Vittoria;¡Enhorabuena!;;1875
;Donazioni, atti gratuiti, patti di famiglia e trusts successorii;;1876
GOLDSTEIN Elliott S.-KILPATRICK Stephen T.-KREBS Jocelyn E.-LEWIN Benjamin;Il gene X;;1877
PAOLUCCI Silvio-SIGNORINI Giuseppina;La storia in tasca;;1878
SCHLESINGER Enrico;Algebra lineare e geometria;;1879
BROWN Terry A.;Biochimica;;1880
FIORANI Tiziana-POSCA Vito;Chimica più;;1881
FIORANI Tiziana-POSCA Vito;Chimica più;;1882
FIORANI Tiziana-POSCA Vito;Chimica più;;1883
FIORANI Tiziana-POSCA Vito;Chimica più;;1884
FIORANI Tiziana-POSCA Vito;Chimica più;;1885
FIORANI Tiziana-POSCA Vito;Chimica più;;1886
FIORANI Tiziana-POSCA Vito;Chimica più;;1887
CARFAGNI Monica-FURFERI Rocco-GOVERNI Lapo-VOLPE Yary;Esercizi di disegno meccanico;;1888
FRANZONI Massimo;ART. 2397-2409 septies;;1889
GEYMONAT Mario-VIRGILIO ;Eneide;;1890
BIAGI Pierluigi-DI GIULIO Antonio-FIORILLI Amelia-LORENZINI Antonello;Alimentazione per lo sport e la salute;;1891
LANG Angelika;Tracce d'animali;;1892
;Commentario sistematico al codice penale;;1893
;Commentario sistematico al codice penale;;1894
PROCIDA MIRABELLI DI LAURO Antonino;Art. 291-314;;1895
CANNELLA Beatrice-CAVAGLIA Patrizia-TARTAGLIA Franco;L'infermiere e il suo paziente;;1896
BONSIGNORI Angelo-INZITARI Bruno;Art. 187-193;;1897
SCARAVELLI Irene;Video vides;;1898
HERDMAN T. Heather-KAMITSURU Shigemi-RIGON Luisa Anna;Le novità dell'edizione Diagnosi infermieristiche NANDA-I 2018-2020;;1899
FAENZA Francesca-MONTI Paolo;Res publica;;1900
FAENZA Francesca-MONTI Paolo;Res publica;;1901
FAENZA Francesca-MONTI Paolo;Res publica;;1902
FAENZA Francesca-MONTI Paolo;Res publica;;1903
BORTOLAMI Ruggero-DELLMANN Dieter H.-EURELL Jo Ann-LUCCHI Maria Luisa;Istologia e anatomia microscopica veterinaria;;1904
;Arbitrato;;1905
BOSELLINI Alfonso;Le Scienze della Terra;;1906
BARNASH Todd A.-CALLIGARO Alberto-DI RENZO Mariaflavia-PAWLINA Wojciech-ROSS Michael H.;Atlante di istologia e anatomia microscopica;;1907
FROTSCHER Michael-KAHLE Werner-ORLANDINI Giovanni;Anatomia umana, Atlante tascabile volume 3;;1908
TARASCO Silvia-TIBONE Federico;Scopri perché!;;1909
TARASCO Silvia-TIBONE Federico;Scopri perché!;;1910
TARASCO Silvia-TIBONE Federico;Scopri perché!;;1911
TARASCO Silvia-TIBONE Federico;Scopri perché!;;1912
TARASCO Silvia-TIBONE Federico;Scopri perché!;;1913
PROVERA Giuseppe;Art. 1571-1606;;1914
FANÒ-ILLIC Giorgio-KATCH Frank I.-KATCH Victor l.-MCARDLE William D.-MISEROCCHI Giuseppe;Fisiologia applicata allo sport;;1915
DEL PRATO Enrico;ART. 769-809;;1916
MEDAGLIA Cinzia-SEIFFART Achim;Sommerflirts;;1917
MEDAGLIA Cinzia-SEIFFART Achim;Sommerflirts;;1918
MEDAGLIA Cinzia-SEIFFART Achim;Sommerflirts;;1919
FRITSCH Helga-KUHNEL Wolfgang-ORLANDINI Giovanni;Anatomia umana, Atlante tascabile;;1920
CICCOTTI Rachele-GARZILLO Liliana;Iconos en juego;;1921
REGA Vincenzo;Essere umani;;1922
REGA Vincenzo;Essere umani;;1923
CASTOLDI Riccardo-LONGONI Beatrice;Prendersi cura della persona con demenza;;1924
ANDOLFI Mario-GIOVANNINI Francesca-LATERZA Espedito;Quick step;;1925
BOITANI Luigi-PRIMACK Richard B;Biologia della conservazione;;1926
TEDOLDI Alberto;Le impugnazioni civili;;1927
BALLARIN Cristina-CARÙ Francesco-COZZI Bruno-PERUFFO Antonella;Anatomia degli animali da laboratorio;;1928
ARQUÉS Rossend-PADOAN Adriana;Il Grande dizionario di spagnolo;;1929
ARQUÉS Rossend-PADOAN Adriana;Il Grande dizionario di spagnolo;;1930
ARQUÉS Rossend-PADOAN Adriana;Il Grande dizionario di spagnolo;;1931
BAGATTI Franco-CORRADI Elis-DESCO Alessandro-ROPA Claudia-TIBONE Federico;Fisica dappertutto;;1932
BAGATTI Franco-CORRADI Elis-DESCO Alessandro-ROPA Claudia-TIBONE Federico;Fisica dappertutto;;1933
MARTÍNEZ FERNÁNDEZ Marina-PONZI Maria Carla;Tu tiempo;;1934
MARTÍNEZ FERNÁNDEZ Marina-PONZI Maria Carla;Tu tiempo;;1935
RODATO Silvano;Chimica oggi;;1936
BALDI Benedetta-SAVOIA Leonardo M.;Linguistica per insegnare;;1937
CONTE Prospero-MILANO Luca-SALEMME Vincenzo;Laboratorio di accoglienza turistica;;1938
CONTE Prospero-MILANO Luca-SALEMME Vincenzo;Laboratorio di accoglienza turistica;;1939
SIRONI Cecilia;Introduzione alla ricerca infermieristica;;1940
LETIZIA Antonino;Scienze integrate;;1941
LETIZIA Antonino;Scienze integrate;;1942
EDIGEO ;il Mini di Spagnolo;;1943
FAVILLA Stefano;Informatica per la tua start up;;1944
GOODWIN Neva-HARRIS Jonathan M.-NELSON Julie A-RAJKARNIKAR Pratistha Joshi-ROACH Brian-TORRAS Mariano;La microeconomia e il suo contesto;;1945
ADAMS Robert-QUARTAPELLE Luigi;Calcolo differenziale 1;;1946
ATKINS Peter William-FRIEDMAN Roland S;Meccanica quantistica molecolare;;1947
GALLESIO PIUMA Maria Elena;Art. 68 - 71;;1948
GALLESIO PIUMA Maria Elena;Art. 64 - 66;;1949
MITTLER Doron;Grammatica ebraica;;1950
BASSANI Franco-FOA Lorenzo-IEMBO Alfredo-PEGORARO Francesco;Problemi di fisica della Scuola Normale;;1951
BERSELLI Silvia-GASPARINI Laura;L'archivio fotografico;;1952
D'URSO Valentina-GIUSBERTI Fiorella;Esperimenti di psicologia;;1953
ANGELONI Franco-FORCHIELLI Paolo;Art. 713-768;;1954
FACCHINI Alberto;Algebra e matematica discreta;;1955
FABRIZIO Mauro;Elementi di meccanica classica;;1956
ALIPPI Adriano-BERTOLOTTI Mario-SETTE Daniele;Lezioni di fisica;;1957
SCOZZAFAVA Romano;Incertezza e probabilità;;1958
BETTINI Alessandro;Elettromagnetismo;;1959
CORTELAZZO Manlio-CORTELAZZO Michele A-ZOLLI Paolo;l'Etimologico minore;;1960
CANDELA Guido-SCORCU Antonello E;Economia delle arti;;1961
FINOCCHIARO Giusella;ART. 2699-2720 - Supplemento D.P.R. 10-11-1997 n. 513;;1962
CARNEVALI Ugo-COSTANZA Maria-NANNI Luca;Art. 1455-1459;;1963
CABELLA PISU Luciana;Art. 1463-1466;;1964
GALGANO Francesco;Art.11-35;;1965
MUSSO Alberto;Titolo III Dei singoli contratti Supplemento Legge 18-6-1998 n. 192;;1966
SPINELLI Donatella;Psicologia dello sport e del movimento umano;;1967
ALVISI Chiara-ZUNARELLI Stefano;Art. 1678-1702;;1968
CALZONI Gian Lorenzo-SPERANZA Anna;Struttura delle piante in immagini;;1969
CALZONI Gian Lorenzo-SPERANZA Anna;Struttura delle piante in immagini;;1970
;Manuale di ingegneria civile e ambientale;;1971
;Manuale di ingegneria civile e ambientale;;1972
;Manuale di ingegneria civile e ambientale;;1973
CAZZOLA Marina;Per non perdere la bussola;;1974
GUADAGNINI Walter;Una storia della fotografia del XX e del XXI secolo;;1975
TERRANOVA Giuseppe;Art. 67;;1976
DE MARCO Giuseppe-MARICONDA Carlo;Esercizi di calcolo in una variabile;;1977
GALLONI Giovanni;Art. 2135-2139;;1978
KLEIN Cornelis;Mineralogia;;1979
DALL'AGLIO Giorgio;Calcolo delle probabilità;;1980
AMALDI Daniela;Storia della letteratura araba classica;;1981
DI GIOVANNI Parisio;Psicologia della comunicazione;;1982
GIORILLI Pier Giorgio-LIPETSKAIA Elena;Panificando;;1983
OLD Bob-PRIMROSE Sandy-TWYMAN Richard;Ingegneria genetica;;1984
BARCELLONA Eugenio-COSTI Renzo-GRANDE STEVENS Franzo;Art. 2452-2461;;1985
PASCUZZI Giovanni;Cyberdiritto 2.0;;1986
BRAMANTI Marco-PAGANI Carlo Domenico-SALSA Sandro;Matematica;;1987
BOSELLINI Alfonso;Storia geologica d'Italia;;1988
PANZINI Franco;Progettare la natura;;1989
CARLI Massimo-FUSARO Carlo;ART.121, 122, 123, 126 Supplemento legge costituzionale 22 novembre 1999, n.1;;1990
COLLESELLI Francesco-COLOMBO Pietro;Elementi di Geotecnica;;1991
COUNSILMAN Brian E-COUNSILMAN James E;La nuova scienza del nuoto;;1992
CARFAGNA Antonella-PICCOLELLA Lia;Complementi ed esercizi di geometria e algebra lineare;;1993
TURRI Eugenio;Il paesaggio degli uomini;;1994
;Il nuovo diritto societario;;1995
;Il nuovo diritto societario;;1996
;Il nuovo diritto societario;;1997
D'AMICO Nicola;Storia e storie della scuola italiana;;1998
HARRIS Daniel C;Elementi di chimica analitica;;1999
GALASSO Alfredo;Art.159-230;;2000
TAYLOR John R;Introduzione all'analisi degli errori;;2001
BONFANTE Guido;Art. 2511-2545;;2002
BOTTARI Francesca-PIZZICANNELLA Fabio;I beni culturali e il paesaggio;;2003
COULTATE Tom;La chimica degli alimenti;;2004
LANZILLO Raffaella-RICCIO Angelo;Art. 1447-1452;;2005
GALGANO Francesco-SBISÀ Giuseppe-ZANELLI Pietro;ART. 2325-2341 ter;;2006
ENRIQUES Luca;Art. 2507-2510;;2007
CAVALLO BORGIA Rossella;ART. 2410-2420 ter;;2008
DE LUCA Nicola;Art. 2546-2548;;2009
FRANZONI Massimo;Art. 2380-2396;;2010
CAVANNA Maurizio;ART. 2501-2505 quater;;2011
MANES Paola-PASQUARIELLO Federica;ART. 2447 bis - 2447 decies;;2012
;Le nuove S.r.l.;;2013
BENATTI Lorenzo-PAOLUCCI Maria Ginevra-SALVATORE Lorenzo-SANTINI Anna Lisa;Art. 2462-2483;;2014
;Commentario sistematico al codice penale;;2015
